territory_code,territory,bim_rate,bim_year
1,Grand Place,19.9,2024
2,Dansaert,29.31,2024
3,Béguinage - Dixmude,28.72,2024
4,Martyrs,21.31,2024
5,Notre-Dame-aux-Neiges,19.82,2024
6,Quartier Royal,,2024
7,Sablon,22.14,2024
8,Marolles,52.34,2024
9,Stalingrad,34.58,2024
10,Anneessens,43.63,2024
11,Cureghem Bara,46.39,2024
12,Cureghem Vétérinaire,50.19,2024
13,Cureghem Rosée,54.51,2024
14,Duchesse,49.65,2024
15,Gare de l'ouest,57.31,2024
16,Molenbeek Historique,55.78,2024
17,Koekelberg,47.16,2024
18,Quartier Maritime,41.38,2024
19,Vieux Laeken Ouest,38.3,2024
20,Vieux Laeken Est,42.48,2024
21,Quartier Nord,47.09,2024
22,Quartier Brabant,47.14,2024
23,Colignon,39.23,2024
24,Chaussée de Haecht,41.67,2024
25,Saint-Josse Centre,37.26,2024
26,Dailly,29.6,2024
27,Josaphat,22.3,2024
28,Plasky,16.57,2024
29,Squares,17.01,2024
30,Porte Tervueren,11.13,2024
31,Saint-Michel,8.39,2024
32,Saint-Pierre,17.8,2024
33,Chasse,28.14,2024
34,Jourdan,20.76,2024
35,Quartier Européen,8.95,2024
36,Matonge,19.12,2024
37,Flagey - Malibran,24.21,2024
38,Hôpital Etterbeek-Ixelles,21.87,2024
39,Etangs d'Ixelles,10.26,2024
40,Louise - Longue Haie,12.03,2024
41,Berckmans - Hôtel des Monnaies,18.57,2024
42,Châtelain,9.6,2024
43,Brugmann - Lepoutre,10.27,2024
44,Churchill,13.17,2024
45,Molière - Longchamp,21.24,2024
46,Altitude 100,16.36,2024
47,Haut Saint-Gilles,20.23,2024
48,Porte de Hal,36.29,2024
49,Bosnie,42.45,2024
50,Bas Forest,38.82,2024
51,Van Volxem - Van Haelen,24.65,2024
52,Veeweyde - Aurore,33.38,2024
53,Bizet - Roue- Ceria,32.85,2024
54,Vogelenzang - Erasme,38.03,2024
55,Neerpede,14.91,2024
56,Bon Air,48.2,2024
57,Scherdemael,24.58,2024
58,Anderlecht - Centre - Wayez,38.11,2024
59,Scheut,34.92,2024
60,Buffon,23.94,2024
61,Moortebeek - Peterbos,44.87,2024
62,Machtens,31.46,2024
63,Karreveld,46.27,2024
64,Hôpital Français,25.11,2024
65,Korenbeek,33.47,2024
66,Potaarde,18.53,2024
67,Berchem Sainte-Agathe Centre,29.59,2024
68,Villas de Ganshoren,36.01,2024
69,Ganshoren Centre,25.92,2024
70,Basilique,26.3,2024
71,Woeste,32.75,2024
72,Jette Centre,25.22,2024
73,Heymbosch - AZ-Jette,20.0,2024
74,Heysel,37.29,2024
75,Houba,35.92,2024
76,Mutsaard,21.2,2024
77,Heembeek,34.29,2024
78,Haren,26.0,2024
79,Paix,29.66,2024
80,Helmet,35.66,2024
81,Gare de Schaerbeek,34.24,2024
82,Terdelt,31.13,2024
83,Conscience,29.45,2024
84,Avenue Léopold III,25.45,2024
85,Gare Josaphat,20.99,2024
86,Paduwa,27.95,2024
87,Reyers,36.5,2024
88,Georges Henri,11.59,2024
89,Gribaumont,10.55,2024
90,Roodebeek - Constellations,20.56,2024
91,Val d'Or,14.68,2024
92,Kapelleveld,36.05,2024
93,Boulevard de la Woluwe,18.6,2024
94,Stockel,9.21,2024
95,Sainte-Alix - Joli Bois,10.71,2024
96,Saint-Paul,9.09,2024
97,Putdael,8.0,2024
98,Auderghem centre,11.31,2024
99,Chant d'Oiseau,7.2,2024
100,Chaussée de Wavre - Saint-Julien,13.8,2024
101,Trois Tilleuls,39.53,2024
102,Transvaal,17.94,2024
103,Boitsfort Centre,12.51,2024
104,Watermael Centre,11.64,2024
105,Dries,23.38,2024
106,Boondael,18.92,2024
107,Université,22.14,2024
108,Montjoie - Langeveld,10.29,2024
109,Observatoire,7.73,2024
110,Fort Jaco,8.58,2024
111,Vivier d'Oie,4.26,2024
112,Kriekenput - Homborch - Verrewinkel,34.14,2024
113,Saint-Job Kauwberg,11.19,2024
114,Dieweg,10.8,2024
115,Kalevoet - Moensberg,23.06,2024
116,Globe,18.16,2024
117,Vossegat - Roosendaal,20.6,2024
118,Saint-Denis - Neerstalle,35.91,2024
700,Cimetière de Bruxelles,,2024
701,Cimetière d'Ixelles,,2024
702,Cimetière de Saint-Gilles,,2024
800,Industrie Nord,,2024
801,Industrie OTAN,,2024
802,Delta,,2024
803,Industrie Sud,,2024
804,Gare du Midi,,2024
805,Industrie Birmingham,,2024
900,Domaine Royal Laeken,,2024
901,Parc Josaphat,,2024
902,Botanique,,2024
903,Cinquantenaire,,2024
904,Parc Léopold,,2024
905,Parc de la Woluwe,,2024
906,Forêt de Soignes,,2024
907,Bois de la Cambre,,2024
908,Parc Wolvendael,,2024
909,Parc Duden - Parc de Forest,,2024
910,Parc des Etangs,,2024
911,Parc Astrid,,2024
912,Parc Forestier,,2024
913,Parc Marie-José,,2024
914,Scheutbos,,2024
915,Parc Elisabeth,,2024
916,Bois du Laarbeek - Poelbos,,2024
917,Parc Baudouin - Dielegembos,,2024
