territory_code,territory_urbis_fr,municipality_nis_codes,n_statistical_sectors,candidate_status
1,GRAND PLACE,21004,4,REVIEW_BRUSSELS_CITY
2,DANSAERT,21004,3,REVIEW_BRUSSELS_CITY
3,BEGUINAGE - DIXMUDE,21004,4,REVIEW_BRUSSELS_CITY
4,MARTYRS,21004,2,REVIEW_BRUSSELS_CITY
5,NOTRE-DAME AUX NEIGES,21004,2,REVIEW_BRUSSELS_CITY
6,QUARTIER ROYAL,21004,5,REVIEW_BRUSSELS_CITY
7,SABLON,21004,2,REVIEW_BRUSSELS_CITY
8,MAROLLES,21004,6,REVIEW_BRUSSELS_CITY
9,STALINGRAD,21004,2,REVIEW_BRUSSELS_CITY
10,ANNEESSENS,21004,2,REVIEW_BRUSSELS_CITY
11,CUREGHEM BARA,21001|21013,6,CERTAIN_NO
12,CUREGHEM VETERINAIRE,21001,6,CERTAIN_NO
13,CUREGHEM ROSEE,21001|21012,4,CERTAIN_NO
14,DUCHESSE,21012,3,CERTAIN_NO
15,GARE DE L'OUEST,21012,4,CERTAIN_NO
16,MOLENBEEK HISTORIQUE,21012,9,CERTAIN_NO
17,KOEKELBERG,21011,3,CERTAIN_YES
18,QUARTIER MARITIME,21004|21012,9,REVIEW_BRUSSELS_CITY_MIXED
19,VIEUX LAEKEN OUEST,21004,1,REVIEW_BRUSSELS_CITY
20,VIEUX LAEKEN EST,21004,6,REVIEW_BRUSSELS_CITY
21,QUARTIER NORD,21004|21014|21015,10,REVIEW_BRUSSELS_CITY_MIXED
22,QUARTIER BRABANT,21014|21015,8,CERTAIN_NO
23,COLIGNON,21015,6,CERTAIN_NO
24,CHAUSSEE DE HAECHT,21014|21015,4,CERTAIN_NO
25,SAINT-JOSSE CENTRE,21014,6,CERTAIN_NO
26,DAILLY,21015,6,CERTAIN_NO
27,JOSAPHAT,21015,4,CERTAIN_NO
28,PLASKY,21015,2,CERTAIN_NO
29,SQUARES,21004,4,REVIEW_BRUSSELS_CITY
30,PORTE TERVUEREN,21004|21005|21015|21018,6,REVIEW_BRUSSELS_CITY_MIXED
31,SAINT-MICHEL,21005|21019,3,CERTAIN_NO
32,SAINT-PIERRE,21005,5,CERTAIN_NO
