territory_code,territory,in_bassin_nord,target_basin,mapping_method,mapping_note
1,Grand Place,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
2,Dansaert,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
3,Béguinage - Dixmude,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
4,Martyrs,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
5,Notre-Dame-aux-Neiges,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
6,Quartier Royal,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
7,Sablon,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
8,Marolles,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
9,Stalingrad,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
10,Anneessens,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
11,Cureghem Bara,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
12,Cureghem Vétérinaire,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
13,Cureghem Rosée,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
14,Duchesse,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
15,Gare de l'ouest,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
16,Molenbeek Historique,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
17,Koekelberg,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
18,Quartier Maritime,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
19,Vieux Laeken Ouest,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
20,Vieux Laeken Est,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
21,Quartier Nord,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
22,Quartier Brabant,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
23,Colignon,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
24,Chaussée de Haecht,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
25,Saint-Josse Centre,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
26,Dailly,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
27,Josaphat,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
28,Plasky,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
29,Squares,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
30,Porte Tervueren,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
31,Saint-Michel,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
32,Saint-Pierre,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
33,Chasse,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
34,Jourdan,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
35,Quartier Européen,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
36,Matonge,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
37,Flagey - Malibran,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
38,Hôpital Etterbeek-Ixelles,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
39,Etangs d'Ixelles,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
40,Louise - Longue Haie,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
41,Berckmans - Hôtel des Monnaies,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
42,Châtelain,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
43,Brugmann - Lepoutre,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
44,Churchill,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
45,Molière - Longchamp,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
